article_id,citation
11,"Angalakuditi M, Edgell E, Beardsworth A, Buysman E, Bancroft T. Treatment patterns and resource utilization and costs among patients with pulmonary arterial hypertension in the United States. J Med Econ. 2010;13: 393–402. doi:10.3111/13696998.2010.496694"
12,"Arbabi CN, DuBose J, Charlton-Ouw K, Starnes BW, Saqib N, Quiroga E, et al. Outcomes and practice patterns of medical management of blunt thoracic aortic injury from the Aortic Trauma Foundation global registry. J Vasc Surg. 2022;75: 625–631. doi:10.1016/j.jvs.2021.08.084"
13,"Ashjian EJ, Yoo A, Piette JD, Choe HM, Thompson AN. Implementation and barriers to uptake of interactive voice response technology aimed to improve blood pressure control at a large academic medical center. J Am Pharm Assoc (2003). 2019;59: S104-S109.e1. doi:10.1016/j.japh.2018.11.013"
14,"Avorn J, Monette J, Lacour A, Bohn RL, Monane M, Mogun H, et al. Persistence of use of lipid-lowering medications: a cross-national study. JAMA: Journal of the American Medical Association. 1998;279: 1458–1462. doi:10.1001/jama.279.18.1458"
15,"Axon DR, Johnson M, Abeln B, Forbes S, Anderson EJ, Taylor AM, et al. An Academic-Community Collaboration to Deliver Medication Therapy Management (MTM) Services to Patients Living in Rural Counties of a Southwestern State in  the United States. J Pharm Pract. 2022;35: 691–700. doi:10.1177/08971900211000219"
16,"Axon RN, Nietert PJ, Egan BM. Antihypertensive medication prescribing patterns in a university teaching hospital. J Clin Hypertens (Greenwich). 2010;12: 246–252. doi:10.1111/j.1751-7176.2009.00254.x"
17,"Barton A, Okorodudu D, Bosworth H, Crowley M. Clinical Inertia in a Randomized Trial of Telemedicine-Based Chronic Disease Management: lessons Learned. Telemedicine journal and e-health. 2018;24: 742‐748. doi:10.1089/tmj.2017.0184"
18,"Basheti I, Tadros O, Aburuz S. Value of a Community-Based Medication Management Review Service in Jordan: a Prospective Randomized Controlled Study. Pharmacotherapy. 2016;36: 1075‐1086. doi:10.1002/phar.1833"
19,"Basudev N, Crosby-Nwaobi R, Thomas S, Chamley M, Murrells T, Forbes A. A prospective randomized controlled study of a virtual clinic integrating primary and specialist care for patients with Type 2 diabetes mellitus. Diabetic medicine. 2016;33: 768‐776. doi:10.1111/dme.12985"
20,"Beadles CA, Farley JF, Ellis AR, Lichstein JC, Morrissey JP, DuBard CA, et al. Do medical homes increase medication adherence for persons with multiple chronic conditions? Med Care. 2015;53: 168–176. doi:10.1097/MLR.0000000000000292"
21,"Beran M, Asche S, Bergdall A, Crabtree B, Green B, Groen S, et al. Key components of success in a randomized trial of blood pressure telemonitoring with medication therapy management pharmacists. Journal of the American Pharmacists Association : JAPhA. 2018;58: 614‐621. doi:10.1016/j.japh.2018.07.001"
22,"Bosworth HB, Powers BJ, Olsen MK, McCant F, Grubber J, Smith V, et al. Home blood pressure management and improved blood pressure control: results from a randomized controlled trial. Arch Intern Med. 2011;171: 1173–1180. doi:10.1001/archinternmed.2011.276"
23,"Bray P, Cummings D, Morrissey S, Thompson D, Holbert D, Wilson K, et al. Improved outcomes in diabetes care for rural African Americans. Annals of family medicine. 2013;11: 145‐150. doi:10.1370/afm.1470"
24,"Brixner DI, Joish VN, Oderda GM, Avey SG, Hanson DM, Cannon HE. Effects of benefit design change across 5 disease states. American Journal of Managed Care. 2007;13: 370–376."
25,"Brody A, Rahman T, Reed B, Millis S, Ference B, Flack JM, et al. Safety and efficacy of antihypertensive prescription at emergency department discharge. Acad Emerg Med. 2015;22: 632–635. doi:10.1111/acem.12660"
26,"Brugts JJ, Danser AHJ, de Maat MPM, den Uil CA, Boersma E, Ferrari R, et al. Pharmacogenetics of ACE inhibition in stable coronary artery disease: steps towards tailored drug therapy. Current Opinion in Cardiology. 2008;23: 296–301. doi:10.1097/hco.0b013e3283007ba6"
27,"Brummel A, Lustig A, Westrich K, Evans MA, Plank GS, Penso J, et al. Best practices: improving patient outcomes and costs in an ACO through comprehensive medication therapy management. J Manag Care Spec Pharm. 2014;20: 1152–1158."
28,"Bunting BA, Smith BH, Sutherland SE. The Asheville Project: clinical and economic outcomes of a community-based long-term medication therapy management program for hypertension and dyslipidemia. Journal of the American Pharmacists Association: JAPhA. 2008;48: 23–31. doi:10.1331/japha.2008.07140"
29,"Burger CD, Ozbay AB, Lazarus HM, Riehle E, Montejano LB, Lenhart G, et al. Treatment Patterns and Associated Health Care Costs Before and After Treatment Initiation Among Pulmonary Arterial Hypertension Patients in the United States. J Manag Care Spec Pharm. 2018;24: 834–842. doi:10.18553/jmcp.2018.17391"
30,"Campbell ML, Mathys ML. Pharmacologic options for the treatment of obesity. American Journal of Health-System Pharmacy. 2001;58: 1301–1308."
31,"Chang TE, Ritchey MD, Park S, Chang A, Odom EC, Durthaler J, et al. National Rates of Nonadherence to Antihypertensive Medications Among Insured Adults With Hypertension, 2015. Hypertension. 2019;74: 1324–1332. doi:10.1161/HYPERTENSIONAHA.119.13616"
32,"Charrois T, McAlister F, Cooney D, Lewanczuk R, Kolber M, Campbell N, et al. Improving hypertension management through pharmacist prescribing; the rural Alberta clinical trial in optimizing hypertension (Rural RxACTION): trial design and methods. Implementation science. 2011;6: 94. doi:10.1186/1748-5908-6-94"
33,"Chen S, Swallow E, Li N, Faust E, Kelley C, Xie J, et al. Economic benefits associated with beta blocker persistence in the treatment of hypertension: a retrospective database analysis. Curr Med Res Opin. 2015;31: 615–622. doi:10.1185/03007995.2015.1013624"
34,"Chisholm-Burns MA, Kim Lee J, Spivey CA, Slack M, Herrier RN, Hall-Lipsy E, et al. US pharmacists’ effect as team members on patient care: systematic review and meta-analyses. Med Care. 2010;48: 923–933. doi:10.1097/MLR.0b013e3181e57962"
35,"Choudhry NK, Fischer MA, Smith BF, Brill G, Girdish C, Matlin OS, et al. Five features of value-based insurance design plans were associated with higher rates of medication adherence. Health Aff (Millwood). 2014;33: 493–501. doi:10.1377/hlthaff.2013.0060"
36,"Choudhry N, Isaac T, Lauffenburger J, Gopalakrishnan C, Khan N, Lee M, et al. Rationale and design of the Study of a Tele-pharmacy Intervention for Chronic diseases to Improve Treatment adherence (STIC2IT): a cluster-randomized pragmatic trial. American heart journal. 2016;180: 90‐97. doi:10.1016/j.ahj.2016.07.017"
37,"Coe AB, Choe HM, Diez HL, Rockey NG, Ashjian EJ, Dorsch MP, et al. Pharmacists providing care in statewide physician organizations: findings from the Michigan Pharmacists Transforming Care and Quality Collaborative. J Manag Care Spec Pharm. 2020;26: 1558–1566. doi:10.18553/jmcp.2020.26.12.1558"
38,"Cohen LB, Taveira TH, Khatana SAM, Dooley AG, Pirraglia PA, Wu W-C. Pharmacist-led shared medical appointments for multiple cardiovascular risk reduction in patients with type 2 diabetes. Diabetes Educ. 2011;37: 801–812. doi:10.1177/0145721711423980"
39,"Colvin NN, Mospan CM, Buxton JA, Waggett JD, Gillette C. Using Indian Health Service (IHS) counseling techniques in an independent community pharmacy to improve adherence rates among patients with diabetes,  hypertension, or hyperlipidemia. J Am Pharm Assoc (2003). 2018;58: S59-S63.e2. doi:10.1016/j.japh.2018.04.024"
40,"Comer D, Couto J, Aguiar R, Wu P, Elliott D. Using aggregated pharmacy claims to identify primary nonadherence. Am J Manag Care. 2015;21: e655-660."
41,"Connor SE, Snyder ME, Snyder ZJ, Steinmetz Pater K. Provision of clinical pharmacy services in two safety net provider settings. Pharm Pract. 2009;7: 94–99. doi:10.4321/S1886-36552009000200005"
42,"Cooke CE, Xing S, Lee HY, Belletti DA. You wrote the prescription, but will it get filled? J Fam Pract. 2011;60: 321–327."
43,"Cooney D, Moon H, Liu Y, Miller RT, Perzynski A, Watts B, et al. A pharmacist based intervention to improve the care of patients with CKD: a pragmatic, randomized, controlled trial. BMC Nephrol. 2015;16: 56. doi:10.1186/s12882-015-0052-2"
44,"Cooper S, Booth S, Gardner C. A medication therapy management program (MTMP) in an integrated healthcare delivery system kaiser permanente georgia region. J Am Geriatr Soc. 2010;58: S169–S170. doi:10.1111/j.1532-5415.2010.02850.x"
45,"Curtiss FR, Fry RN, Avey SG. Framework for pharmacy services quality improvement--a bridge to cross the quality chasm. Part I. The opportunity and the tool. J Manag Care Pharm. 2004;10: 60–78. doi:10.18553/jmcp.2004.10.1.60"
46,"Curtiss FR, Fry RN, Avey SG. Framework for pharmacy services quality improvement-a bridge to cross the quality chasm. J  Manag Care Spec Pharm. 2020;26: 798–816. doi:10.18553/jmcp.2020.26.7.798"
47,"de Miguel AG, Jiménez-García R, San Martín M, Gonzalez IF, Campo AV, Gonzalez JM, et al. Drug surveillance study of amlodipine in patients with hypertension not controlled with drug therapy: NORCON study. Current Therapeutic Research. 2000;61: 863–870."
48,"de Oliveira DR, Brummel AR, Miller DB. Medication Therapy Management: 10 Years of Experience in a Large Integrated Health Care System. J Manag Care Spec Pharm. 2020;26: 1057–1066. doi:10.18553/jmcp.2020.26.9.1057"
49,"de Souza WA, Yugar-Toledo JC, Bergsten-Mendes G, Sabha M, Moreno H Jr. Effect of pharmaceutical care on blood pressure control and health-related quality of life in patients with resistant hypertension. American Journal of Health-System Pharmacy. 2007;64: 1955–1961. doi:10.2146/ajhp060547"
50,"Degli Esposti L, Degli Esposti E, Valpiani G, Di Martino M, Saragoni S, Buda S, et al. A retrospective, population-based analysis of persistence with antihypertensive drug therapy in primary care practice in Italy. Clinical Therapeutics. 2002;24: 1347–1346. doi:10.1016/s0149-2918(02)80039-x"
51,"Devlin JW, Dasta JF, Kleinschmidt K, Roberts RJ, Lapointe M, Varon J, et al. Patterns of antihypertensive treatment in patients with acute severe hypertension from a nonneurologic cause: Studying the Treatment of Acute Hypertension (STAT)  registry. Pharmacotherapy. 2010;30: 1087–1096. doi:10.1592/phco.30.11.1087"
52,"Diamantidis C, Bosworth H, Oakes M, Davenport C, Pendergast J, Patel S, et al. Simultaneous Risk Factor Control Using Telehealth to slOw Progression of Diabetic Kidney Disease (STOP-DKD) study: protocol and baseline characteristics of a randomized controlled trial. Contemporary clinical trials. 2018;69: 28‐39. doi:10.1016/j.cct.2018.04.003"
53,"Done N, Roy AM, Yuan Y, Pizer SD, Rose AJ, Prentice JC. Guideline-concordant initiation of oral anticoagulant therapy for stroke prevention in older veterans with atrial fibrillation eligible for Medicare Part  D. Health Serv Res. 2019;54: 128–138. doi:10.1111/1475-6773.13079"
54,"Edelman D, Fredrickson S, Melnyk S, Coffman C, Jeffreys A, Datta S, et al. Medical clinics versus usual care for patients with both diabetes and hypertension: a randomized trial. Annals of internal medicine. 2010;152: 689‐696. doi:10.7326/0003-4819-152-11-201006010-00001"
55,"Egan BM, Li J, Wagner CS. Systolic Blood Pressure Intervention Trial (SPRINT) and Target Systolic Blood Pressure in Future Hypertension Guidelines. Hypertension. 2016;68: 318–323. doi:10.1161/HYPERTENSIONAHA.116.07575"
56,"Engel-Nitz NM, Darkow T, Lau H. Antihypertensive medication changes and blood pressure goal achievement in a managed care population. J Hum Hypertens. 2010;24: 659–668. doi:10.1038/jhh.2010.2"
57,"Evans C, Eurich D, Taylor J, Blackburn D. The Collaborative Cardiovascular Risk Reduction in Primary Care (CCARP) study. Pharmacotherapy. 2010;30: 766‐775. doi:10.1592/phco.30.8.766"
58,"Ferdinand KC, Yadav K, Nasser SA, Clayton-Jeter HD, Lewin J, Cryer DR, et al. Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence. J Clin Hypertens (Greenwich). 2017;19: 1015–1024. doi:10.1111/jch.13089"
59,"Ferrara AL, Pacioni D, Di Fronzo V, Russo BF, Staiano L, Speranza E, et al. Lifestyle educational program strongly increases compliance to nonpharmacologic intervention in hypertensive patients: a 2-year follow-up study. Journal of Clinical Hypertension. 2012;14: 767–772. doi:10.1111/jch.12016"
60,"Fisher NDL, Fera LE, Dunning JR, Desai S, Matta L, Liquori V, et al. Development of an entirely remote, non-physician led hypertension management program. Clin Cardiol. 2019;42: 285–291. doi:10.1002/clc.23141"
61,"Fontil V, Bibbins-Domingo K, Kazi DS, Sidney S, Coxson PG, Khanna R, et al. Simulating Strategies for Improving Control of Hypertension Among Patients with Usual Source of Care in the United States: The Blood Pressure Control Model. J Gen Intern Med. 2015;30: 1147–1155. doi:10.1007/s11606-015-3231-8"
62,"Fontil V, Gupta R, Moise N, Chen E, Guzman D, McCulloch CE, et al. Adapting and Evaluating a Health System Intervention From Kaiser Permanente to Improve Hypertension Management and Control in a Large Network of Safety-Net  Clinics. Circ Cardiovasc Qual Outcomes. 2018;11: e004386. doi:10.1161/CIRCOUTCOMES.117.004386"
63,"Fortuna RJ, Nagel AK, Rose E, McCann R, Teeters JC, Quigley DD, et al. Effectiveness of a multidisciplinary intervention to improve hypertension control in an urban underserved practice. J Am Soc Hypertens. 2015;9: 966–974. doi:10.1016/j.jash.2015.10.004"
64,"Gatwood J, Hanley R, Moore JS, Hohmeier K. Community pharmacist led, employer-based wellness services: A pilot study. Res Social Adm Pharm. 2019;15: 615–618. doi:10.1016/j.sapharm.2018.06.008"
65,"Gerbino PP, Shoheiber O. Adherence patterns among patients treated with fixed-dose combination versus separate antihypertensive agents. American Journal of Health-System Pharmacy. 2007;64: 1279–1283. doi:10.2146/ajhp060434"
66,Gilmer T. Costs of chronic disease management for newly insured adults. Med Care. 2011;49: e22-27. doi:10.1097/MLR.0b013e318215d280
67,"Giruzzi M, Giruzzi N, Gonzalez V, McKeirnan K. implementing Student Pharmacist- Led Health Outreach Events at Long-term Care Facilities in a Medically Underserved Community. Sr Care Pharm. 2021;36: 387–396. doi:10.4140/TCP.n.2021.387"
68,"Grant R, Ashburner J, Jernigan M, Chang J, Borowsky L, Chang Y, et al. Randomized trial of a health IT tool to support between-visit-based laboratory monitoring for chronic disease medication prescriptions. Journal of general internal medicine. 2015;30: 619‐625. doi:10.1007/s11606-014-3152-y"
69,"Gums TH, Uribe L, Vander Weg MW, James P, Coffey C, Carter BL. Pharmacist intervention for blood pressure control: medication intensification and adherence. J Am Soc Hypertens. 2015;9: 569–578. doi:10.1016/j.jash.2015.05.005"
70,"Haley W, Shawl F, Charles Sternbergh W, Turan T, Barrett K, Voeks J, et al. Non-Adherence to Antihypertensive Guidelines in Patients with Asymptomatic Carotid Stenosis. Journal of stroke and cerebrovascular diseases. 2021;30: 105918. doi:10.1016/j.jstrokecerebrovasdis.2021.105918"
71,"Haramiova Z, Stasko M, Hulin M, Tesar T, Kuzelova M, Morisky D. The effectiveness of daily SMS reminders in pharmaceutical care of older adults on improving patients’ adherence to antihypertensive medication (SPPA): study protocol for a randomized controlled trial. Trials. 2017;18: 334. doi:10.1186/s13063-017-2063-8"
72,"Hedegaard U, Kjeldsen L, Pottegård A, Henriksen J, Lambrechtsen J, Hangaard J, et al. Improving Medication Adherence in Patients with Hypertension: a Randomized Trial. American journal of medicine. 2015;128: 1351‐1361. doi:10.1016/j.amjmed.2015.08.011"
73,"Hedegaard U, Hallas J, Ravn-Nielsen LV, Kjeldsen LJ. Process- and patient-reported outcomes of a multifaceted medication adherence intervention for hypertensive patients in secondary care. Res Social Adm Pharm. 2016;12: 302–318. doi:10.1016/j.sapharm.2015.05.006"
74,"Heisler M, Hofer T, Schmittdiel J, Selby J, Klamerus M, Bosworth H, et al. Improving blood pressure control through a clinical pharmacist outreach program in patients with diabetes mellitus in 2 high-performing health systems: the adherence and intensification of medications cluster randomized, controlled pragmatic trial. Circulation. 2012;125: 2863‐2872. doi:10.1161/CIRCULATIONAHA.111.089169"
75,"Heisler M, Hofer TP, Klamerus ML, Schmittdiel J, Selby J, Hogan MM, et al. Study protocol: the Adherence and Intensification of Medications (AIM) study--a cluster randomized controlled effectiveness study. Trials. 2010;11: 95. doi:10.1186/1745-6215-11-95"
76,"Highland KB, Hull M, Pruett J, Elliott C, Tsang Y, Drake W. Baseline history of patients using selexipag for pulmonary arterial hypertension. Ther Adv Respir Dis. 2019;13: 1753466619843774. doi:10.1177/1753466619843774"
77,"Hill NS, Cawley MJ, Heggen-Peay CL. New Therapeutic Paradigms and Guidelines in the Management of Pulmonary Arterial Hypertension. J Manag Care Spec Pharm. 2016;22: S3-21. doi:10.18553/jmcp.2016.22.3-a.s3"
78,"Hirsch JD, Steers N, Adler DS, Kuo GM, Morello CM, Megan Lang, et al. Primary Care-based, Pharmacist-physician Collaborative Medication-therapy Management of Hypertension: A Randomized, Pragmatic Trial. Clinical Therapeutics. 2014;36: 1244–1254. doi:10.1016/j.clinthera.2014.06.030"
79,"Ho PM, Lambert-Kerzner A, Carey EP, Fahdi IE, Bryson CL, Dee Melnyk S, et al. Multifaceted intervention to improve medication adherence and secondary prevention measures after acute coronary syndrome hospital discharge : A randomized clinical trial. JAMA Intern Med. 2014;174: 186–193. doi:10.1001/jamainternmed.2013.12944"
80,Hockenberry B. Multiple drug therapy in the treatment of essential hypertension. Nursing Clinics of North America. 1991;26: 417–436.
81,"Houle SK, Chuck AW, Tsuyuki RT. Blood pressure kiosks for medication therapy management programs: Business opportunity for pharmacists. Journal of the American Pharmacists Association: JAPhA. 2012;52: 188–194. doi:10.1331/japha.2012.11217"
82,"Hunt LM, Kreiner M, Brody H. The changing face of chronic illness management in primary care: a qualitative study of underlying influences and unintended outcomes. Ann Fam Med. 2012;10: 452–460. doi:10.1370/afm.1380"
83,"Hussain T, Franz W, Brown E, Kan A, Okoye M, Dietz K, et al. The Role of Care Management as a Population Health Intervention to Address Disparities and Control Hypertension: A Quasi-Experimental Observational Study. Ethn Dis. 2016;26: 285–294. doi:10.18865/ed.26.3.285"
84,"Isetts BJ, Schondelmeyer SW, Artz MB, Lenarz LA, Heaton AH, Wadd WB, et al. Clinical and economic outcomes of medication therapy management services: the Minnesota experience. Journal of the American Pharmacists Association: JAPhA. 2008;48: 203–211. doi:10.1331/JAPhA.2008.07108"
85,"Isetts BJ, Buffington DE, Carter BL, Smith M, Polgreen LA, James PA. Evaluation of Pharmacists’ Work in a Physician-Pharmacist Collaborative Model for the Management of Hypertension. Pharmacotherapy. 2016;36: 374–384. doi:10.1002/phar.1727"
86,"Ismail S, Al-Subhi A, Youssif E, Ahmed M, Almalki A, Seger DL, et al. Patient-centered Pharmacist Care in the Hemodialysis Unit: a quasi-experimental interrupted time series study. BMC Nephrology. 2019;20: 1–9. doi:10.1186/s12882-019-1577-6"
87,"Iyengar RN, Balagere DS, Henderson RR, LeFrancois AL, Rabbitt RM, Frazee SG. Association between dispensing channel and medication adherence among medicare beneficiaries taking medications to treat diabetes, high blood pressure, or high  blood cholesterol. J Manag Care Spec Pharm. 2014;20: 851–861. doi:10.18553/jmcp.2014.20.8.851"
88,"Iyengar RN, LeFrancois AL, Henderson RR, Rabbitt RM. Medication Nonadherence Among Medicare Beneficiaries with Comorbid Chronic Conditions: Influence of Pharmacy Dispensing Channel. J Manag Care Spec Pharm. 2016;22: 550–560. doi:10.18553/jmcp.2016.22.5.550"
89,"Jackson GL, Oddone EZ, Olsen MK, Powers BJ, Grubber JM, McCant F, et al. Racial differences in the effect of a telephone-delivered hypertension disease management program. J Gen Intern Med. 2012;27: 1682–1689. doi:10.1007/s11606-012-2138-x"
90,"Jacobs M, Sherry P, Taylor L, Amato M, Tataronis G, Cushing G. Pharmacist Assisted Medication Program Enhancing the Regulation of Diabetes (PAMPERED) study. Journal of the American Pharmacists Association : JAPhA. 2012;52: 613‐621. doi:10.1331/JAPhA.2012.10183"
91,"Jaffe MG, Lee GA, Young JD, Sidney S, Go AS. Improved blood pressure control associated with a large-scale hypertension program. JAMA. 2013;310: 699–705. doi:10.1001/jama.2013.108769"
92,"Jarvis H, Oprinovich S, Guthrie K. Implementation of a self-measured blood pressure program in a community pharmacy: A pilot study. Journal of the American Pharmacists Association: JAPhA. 2022;62: S41-S46.e1. doi:10.1016/j.japh.2021.10.032"
93,"Javaid Z, Imtiaz U, Khalid I, Saeed H, Khan R, Islam M, et al. A randomized control trial of primary care-based management of type 2 diabetes by a pharmacist in Pakistan. BMC health services research. 2019;19: 409. doi:10.1186/s12913-019-4274-z"
94,"Johnson M, Jastrzab R, Tate J, Johnson K, Hall-Lipsy E, Martin R, et al. Evaluation of an Academic-Community Partnership to Implement MTM Services in Rural Communities to Improve Pharmaceutical Care for Patients with Diabetes  and/or Hypertension. J Manag Care Spec Pharm. 2018;24: 132–141. doi:10.18553/jmcp.2018.24.2.132"
95,"Jokanovic N, Tan EC, Sudhakaran S, Kirkpatrick CM, Dooley MJ, Ryan-Atwood TE, et al. Pharmacist-led medication review in community settings: An overview of systematic reviews. Res Social Adm Pharm. 2017;13: 661–685. doi:10.1016/j.sapharm.2016.08.005"
96,"Joshi M, Pham CM, Deng H, Norton RM, Mathew S, Tilton JJ, et al. EE269 Long-Term Cost-Effectiveness of a Pharmacist-Led Medication Therapy Management Clinic (MTMC) for Type 2 Diabetes Management. Value Health. 2022;25: S386. doi:10.1016/j.jval.2022.04.516"
97,"Karter AJ, Parker MM, Moffet HH, Ahmed AT, Schmittdiel JA, Selby JV, et al. New prescription medication gaps: a comprehensive measure of adherence to new prescriptions. Health Services Research. 2009;44: 1640–1661. doi:10.1111/j.1475-6773.2009.00989.x"
98,"Kerby T, Asche S, Maciosek M, O’Connor P, Sperl-Hillen J, Margolis K. Adherence to blood pressure telemonitoring in a cluster-randomized clinical trial. Journal of clinical hypertension (Greenwich, Conn). 2012;14: 668‐674. doi:10.1111/j.1751-7176.2012.00685.x"
99,"Kilbourne AM, Goodrich D, Miklowitz DJ, Austin K, Post EP, Bauer MS. Characteristics of patients with bipolar disorder managed in VA primary care or specialty mental health care settings. Psychiatr Serv. 2010;61: 500–507. doi:10.1176/ps.2010.61.5.500"
100,"Koenigsfeld CF, Horning KK, Logemann CD, Schmidt GA. Medication therapy management in the primary care setting: a pharmacist-based pay-for-performance project. J Pharm Pract. 2012;25: 89–95. doi:10.1177/0897190011416671"
101,"Kohok DD, Sico JJ, Baye F, Myers L, Coffing J, Kamalesh M, et al. Post-stroke hypertension control and receipt of health care services among veterans. J Clin Hypertens (Greenwich). 2018;20: 382–387. doi:10.1111/jch.13194"
102,"Kolanczyk DM, Borchert JS, Lempicki KA. Focus group describing simulation-based learning for cardiovascular topics in US colleges and schools of pharmacy. Curr Pharm Teach Learn. 2019;11: 1144–1151. doi:10.1016/j.cptl.2019.07.005"
103,"Kristeller J, Manning D. Demonstrating the value of an innovative transitionof-care pharmacy service with quality measures and a unique way of gauging significance of pharmacy interventions. J Am Pharm Assoc. 2018;58: e187. doi:10.1016/j.japh.2018.04.004"
104,"Krumme AA, Glynn RJ, Schneeweiss S, Gagne JJ, Dougherty JS, Brill G, et al. Medication Synchronization Programs Improve Adherence To Cardiovascular Medications And Health Care Use. Health Aff (Millwood). 2018;37: 125–133. doi:10.1377/hlthaff.2017.0881"
105,Kuehn BM. Barbershop-Based Care Dramatically Trims Blood Pressure. Circulation. 2018;137: 1861–1862. doi:10.1161/CIRCULATIONAHA.118.034990
106,"Kulchaitanaroaj P, Brooks J, Chaiyakunapruk N, Goedken A, Chrischilles E, Carter B. Cost-utility analysis of physician-pharmacist collaborative intervention for treating hypertension compared with usual care. Journal of hypertension. 2017;35: 178‐187. doi:10.1097/HJH.0000000000001126"
107,"Kulchaitanaroaj P, Carter B, Goedken A, Chrischilles E, Brooks J. Instrumental variable methods to assess quality of care the marginal effects of process-of-care on blood pressure change and treatment costs. Research in social & administrative pharmacy : RSAP. 2015;11: e69‐83. doi:10.1016/j.sapharm.2014.07.007"
108,"Kumar G, Virmani T, Pathak K, Alhalmi A. A Revolutionary Blueprint for Mitigation of Hypertension via Nanoemulsion. BioMed Research International. 2022; 1–12. doi:10.1155/2022/4109874"
109,"Ladhani N, Majumdar S, Johnson J, Tsuyuki R, Lewanczuk R, Spooner R, et al. Adding pharmacists to primary care teams reduces predicted long-term risk of cardiovascular events in type 2 diabetic patients without established cardiovascular disease: results from a randomized trial. Diabetic medicine. 2012;29: 1433‐1439. doi:10.1111/j.1464-5491.2012.03673.x"
110,"Lalonde L, Quintana-Bárcena P, Lord A, Bell R, Clément V, Daigneault A, et al. Community Pharmacist Training-and-Communication Network and Drug-Related Problems in Patients With CKD: a Multicenter, Cluster-Randomized, Controlled Trial. American journal of kidney diseases. 2017;70: 386‐396. doi:10.1053/j.ajkd.2017.05.008"
111,"Lambert-Kerzner A, Del Giacco EJ, Fahdi IE, Bryson CL, Melnyk SD, Bosworth HB, et al. Patient-centered adherence intervention after acute coronary syndrome hospitalization. Circ Cardiovasc Qual Outcomes. 2012;5: 571–576. doi:10.1161/CIRCOUTCOMES.111.962290"
112,"Lee JK, Grace KA, Taylor AJ, Lee JK, Grace KA, Taylor AJ. Effect of a pharmacy care program on medication adherence and persistence, blood pressure, and low-density lipoprotein cholesterol: a randomized controlled trial. JAMA: Journal of the American Medical Association. 2006;296: 2563–2571. doi:10.1001/jama.296.21.joc60162"
113,"Leslie RS, Gilmer T, Natarajan L, Hovell M. A Multichannel Medication Adherence Intervention Influences Patient and Prescriber Behavior. J Manag Care Spec Pharm. 2016;22: 526–538. doi:10.18553/jmcp.2016.22.5.526"
114,"Leslie RS, Tirado B, Patel BV, Rein PJ. Evaluation of an integrated adherence program aimed to increase Medicare Part D star rating measures. J Manag Care Spec Pharm. 2014;20: 1193–1203. doi:10.18553/jmcp.2014.20.12.1193"
